U+1F468-200D-1F4BB	👨‍💻	男程序员 程序员 开发人员 技术员 男开发人员 男技术员 男码农 男码畜
U+1F469-200D-1F4BB	👩‍💻	女程序员 程序员 女开发人员 女技术员 女码农 女码畜
U+1F9D1-200D-1F3A4	🧑‍🎤	歌手
U+1F468-200D-1F3A4	👨‍🎤	男歌手 歌手 摇滚歌手 摇滚男歌手 朋克 男摇滚歌手 重金属
U+1F469-200D-1F3A4	👩‍🎤	女歌手 歌手 女摇滚歌手 摇滚女歌手 朋克 重金属
U+1F9D1-200D-1F3A8	🧑‍🎨	艺术家
U+1F468-200D-1F3A8	👨‍🎨	男艺术家 艺术家 漫画家 男漫画家 男画家
U+1F469-200D-1F3A8	👩‍🎨	女艺术家艺术家 女漫画家 女画家 女艺术家
U+1F9D1-200D-2708-FE0F	🧑‍✈️	飞行员
U+1F468-200D-2708-FE0F	👨‍✈️	男飞行员 飞行员
U+1F469-200D-2708-FE0F	👩‍✈️	女飞行员 飞行员
U+1F9D1-200D-1F680	🧑‍🚀	宇航员
U+1F468-200D-1F680	👨‍🚀	男宇航员 宇航员
U+1F469-200D-1F680	👩‍🚀	女宇航员 宇航员
U+1F9D1-200D-1F692	🧑‍🚒	消防员
U+1F468-200D-1F692	👨‍🚒	男消防员 消防员
U+1F469-200D-1F692	👩‍🚒	女消防员 消防员
U+1F46E	👮	警察 警官
U+1F46E-200D-2642-FE0F	👮‍♂️	男警察 警察 男警官
U+1F46E-200D-2640-FE0F	👮‍♀️	女警察 警察 女警官
U+1F575	🕵	侦探 间谍
U+1F575-FE0F-200D-2642-FE0F	🕵️‍♂️	男侦探 侦探
U+1F575-FE0F-200D-2640-FE0F	🕵️‍♀️	女侦探 侦探
U+1F482	💂	卫兵 卫士 守卫
U+1F482-200D-2642-FE0F	💂‍♂️	男卫兵 卫兵 男卫士
U+1F482-200D-2640-FE0F	💂‍♀️	女卫兵 卫兵 女卫士
U+1F977	🥷	忍者 忍术
U+1F477	👷	建筑工人 建筑
U+1F477-200D-2642-FE0F	👷‍♂️	男建筑工人 建筑工人 农民工 建筑工 男农民工 男工人 男建筑工
U+1F477-200D-2640-FE0F	👷‍♀️	女建筑工人 建筑工人 农民工 女农民工 女工人 女建筑工
U+1FAC5	🫅	戴王冠的人 王冠 君主
U+1F934	🤴	王子 王冠 国王 小王子
U+1F478	👸	公主 王冠 女王 女皇 小公主 皇冠 童话
U+1F473	👳	戴头巾的人 头巾
U+1F473-200D-2642-FE0F	👳‍♂️	戴头巾的男人 头巾 戴头巾 戴头巾的人
U+1F473-200D-2640-FE0F	👳‍♀️	戴头巾的女人 头巾 戴头巾 戴头巾的人
